Nouns DAO Name,Treasury ,,NFT Vault,,FT Vault,,Proposal,,Voter,,Followers,,Status
"Geminios DAO
Creator DAO","$ 4.1
0.18% (24H)","$ 4.1
0.18% (24H) TreasuryGeminios DAO
Creator DAO",N/A,"N/A NFT Vault Geminios DAO
Creator DAO",$4.10,"4.1 FT Vault Geminios DAO
Creator DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"Corn Factory
Creator DAO","$ 1.9
0.18% (24H)","$ 1.9
0.18% (24H) TreasuryCorn Factory
Creator DAO",N/A,"N/A NFT Vault Corn Factory
Creator DAO",$1.90,"1.9 FT Vault Corn Factory
Creator DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"Auras Onchain
Creator DAO","$ 1.9
0.18% (24H)","$ 1.9
0.18% (24H) TreasuryAuras Onchain
Creator DAO",N/A,"N/A NFT Vault Auras Onchain
Creator DAO",$1.90,"1.9 FT Vault Auras Onchain
Creator DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"Moodboard DAO
Creator DAO","$ 0.9
0.18% (24H)","$ 0.9
0.18% (24H) TreasuryMoodboard DAO
Creator DAO",N/A,"N/A NFT Vault Moodboard DAO
Creator DAO",$0.90,"0.9 FT Vault Moodboard DAO
Creator DAO",1,1 Proposal,1,1 Voter,N/A,N/A Followers,Unverifed
"Lemon
Creator DAO","$ 0.2
0.18% (24H)","$ 0.2
0.18% (24H) TreasuryLemon
Creator DAO",N/A,"N/A NFT Vault Lemon
Creator DAO",$0.20,"0.2 FT Vault Lemon
Creator DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"Blue
Creator DAO",N/A,"N/A TreasuryBlue
Creator DAO",N/A,"N/A NFT Vault Blue
Creator DAO",N/A,"N/A FT Vault Blue
Creator DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"Lost Nouns
Infrastructure",N/A,"N/A TreasuryLost Nouns
Infrastructure",N/A,"N/A NFT Vault Lost Nouns
Infrastructure",N/A,"N/A FT Vault Lost Nouns
Infrastructure",0,0 Proposal,0,0 Voter,1.9K,1.9K Followers,Unverifed
"Purpler
Creator DAO",N/A,"N/A TreasuryPurpler
Creator DAO",N/A,"N/A NFT Vault Purpler
Creator DAO",N/A,"N/A FT Vault Purpler
Creator DAO",1,1 Proposal,1,1 Voter,N/A,N/A Followers,Unverifed
"Booglers
Creator DAO",N/A,"N/A TreasuryBooglers
Creator DAO",N/A,"N/A NFT Vault Booglers
Creator DAO",N/A,"N/A FT Vault Booglers
Creator DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"Token Quests X
Creator DAO",N/A,"N/A TreasuryToken Quests X
Creator DAO",N/A,"N/A NFT Vault Token Quests X
Creator DAO",N/A,"N/A FT Vault Token Quests X
Creator DAO",0,0 Proposal,0,0 Voter,152,152 Followers,Unverifed
"Web3
Creator DAO",N/A,"N/A TreasuryWeb3
Creator DAO",N/A,"N/A NFT Vault Web3
Creator DAO",N/A,"N/A FT Vault Web3
Creator DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
