Nouns DAO Name,Treasury ,,NFT Vault,,FT Vault,,Proposal,,Voter,,Followers,,Status
"UPDAO
Service DAO","$ 671.0K
0.19% (24H)","$ 671.0K
0.19% (24H) TreasuryUPDAO
Service DAO",$ 48.5K,"$ 48.5K NFT Vault UPDAO
Service DAO",$ 622.5K,"$ 622.5K FT Vault UPDAO
Service DAO",0,0 Proposal,0,0 Voter,2.8K,2.8K Followers,Unverifed
"Layer2DAO
Investment DAO","$ 669.4K
0.05% (24H)","$ 669.4K
0.05% (24H) TreasuryLayer2DAO
Investment DAO",N/A,"N/A NFT Vault Layer2DAO
Investment DAO",$ 669.4K,"$ 669.4K FT Vault Layer2DAO
Investment DAO",0,0 Proposal,0,0 Voter,40.6K,40.6K Followers,Verifed
"Arts DAO
Collector DAO","$ 639.6K
0.19% (24H)","$ 639.6K
0.19% (24H) TreasuryArts DAO
Collector DAO",$ 530.5K,"$ 530.5K NFT Vault Arts DAO
Collector DAO",$ 109.1K,"$ 109.1K FT Vault Arts DAO
Collector DAO",1,1 Proposal,107,107 Voter,13.1K,13.1K Followers,Verifed
"StakeWise
Protocol DAO","$ 635.5K
-0.12% (24H)","$ 635.5K
-0.12% (24H) TreasuryStakeWise
Protocol DAO",$38.80,"38.8 NFT Vault StakeWise
Protocol DAO",$ 635.5K,"$ 635.5K FT Vault StakeWise
Protocol DAO",64,64 Proposal,400,400 Voter,10.1K,10.1K Followers,Unverifed
"Dope Wars
Infrastructure","$ 628.3K
0.01% (24H)","$ 628.3K
0.01% (24H) TreasuryDope Wars
Infrastructure",N/A,"N/A NFT Vault Dope Wars
Infrastructure",$ 628.3K,"$ 628.3K FT Vault Dope Wars
Infrastructure",116,116 Proposal,711,711 Voter,14.8K,14.8K Followers,Unverifed
"Popcorn
Protocol DAO","$ 616.1K
0.34% (24H)","$ 616.1K
0.34% (24H) TreasuryPopcorn
Protocol DAO",$116.40,"116.4 NFT Vault Popcorn
Protocol DAO",$ 616.0K,"$ 616.0K FT Vault Popcorn
Protocol DAO",37,37 Proposal,620,620 Voter,24.4K,24.4K Followers,Unverifed
"MolochDAO
Service DAO","$ 613.9K
0.09% (24H)","$ 613.9K
0.09% (24H) TreasuryMolochDAO
Service DAO",$548.70,"548.7 NFT Vault MolochDAO
Service DAO",$ 613.4K,"$ 613.4K FT Vault MolochDAO
Service DAO",31,31 Proposal,16,16 Voter,12.1K,12.1K Followers,Unverifed
"gmDAO
Collector DAO","$ 613.3K
0.14% (24H)","$ 613.3K
0.14% (24H) TreasurygmDAO
Collector DAO",$ 50.5K,"$ 50.5K NFT Vault gmDAO
Collector DAO",$ 562.8K,"$ 562.8K FT Vault gmDAO
Collector DAO",75,75 Proposal,735,735 Voter,7.4K,7.4K Followers,Unverifed
"Unslashed
Infrastructure","$ 596.2K
0.38% (24H)","$ 596.2K
0.38% (24H) TreasuryUnslashed
Infrastructure",N/A,"N/A NFT Vault Unslashed
Infrastructure",$ 596.2K,"$ 596.2K FT Vault Unslashed
Infrastructure",35,35 Proposal,255,255 Voter,9.7K,9.7K Followers,Unverifed
"PieDAO
Protocol DAO","$ 571.5K
0.05% (24H)","$ 571.5K
0.05% (24H) TreasuryPieDAO
Protocol DAO",N/A,"N/A NFT Vault PieDAO
Protocol DAO",$ 571.5K,"$ 571.5K FT Vault PieDAO
Protocol DAO",56,56 Proposal,484,484 Voter,14,14 Followers,Unverifed
"Kolibri DAO
Protocol DAO","$ 568.9K
0.54% (24H)","$ 568.9K
0.54% (24H) TreasuryKolibri DAO
Protocol DAO",N/A,"N/A NFT Vault Kolibri DAO
Protocol DAO",$ 568.9K,"$ 568.9K FT Vault Kolibri DAO
Protocol DAO",0,0 Proposal,0,0 Voter,722,722 Followers,Verifed
"Float Protocol
Protocol DAO","$ 557.4K
0.20% (24H)","$ 557.4K
0.20% (24H) TreasuryFloat Protocol
Protocol DAO",$48.50,"48.5 NFT Vault Float Protocol
Protocol DAO",$ 557.4K,"$ 557.4K FT Vault Float Protocol
Protocol DAO",44,44 Proposal,3.2K,3.2K Voter,9.7K,9.7K Followers,Unverifed
"CULTIVATE
Creator DAO","$ 518.6K
0.21% (24H)","$ 518.6K
0.21% (24H) TreasuryCULTIVATE
Creator DAO",$ 297.4K,"$ 297.4K NFT Vault CULTIVATE
Creator DAO",$ 221.2K,"$ 221.2K FT Vault CULTIVATE
Creator DAO",0,0 Proposal,0,0 Voter,11.2K,11.2K Followers,Unverifed
"AuxoDAO
Protocol DAO","$ 515.5K
-0.01% (24H)","$ 515.5K
-0.01% (24H) TreasuryAuxoDAO
Protocol DAO",N/A,"N/A NFT Vault AuxoDAO
Protocol DAO",$ 515.5K,"$ 515.5K FT Vault AuxoDAO
Protocol DAO",3,3 Proposal,57,57 Voter,15.5K,15.5K Followers,Verifed
"SharkDAO
Collector DAO","$ 405.9K
0.18% (24H)","$ 405.9K
0.18% (24H) TreasurySharkDAO
Collector DAO",$ 317.8K,"$ 317.8K NFT Vault SharkDAO
Collector DAO",$ 88.1K,"$ 88.1K FT Vault SharkDAO
Collector DAO",384,384 Proposal,657,657 Voter,8.5K,8.5K Followers,Unverifed
"AssangeDAO
Service DAO","$ 388.9K
0.17% (24H)","$ 388.9K
0.17% (24H) TreasuryAssangeDAO
Service DAO",$48.50,"48.5 NFT Vault AssangeDAO
Service DAO",$ 388.8K,"$ 388.8K FT Vault AssangeDAO
Service DAO",11,11 Proposal,1.1K,1.1K Voter,18.9K,18.9K Followers,Unverifed
"GenomesDAO
Service DAO","$ 376.6K
0.01% (24H)","$ 376.6K
0.01% (24H) TreasuryGenomesDAO
Service DAO",$ 103.1K,"$ 103.1K NFT Vault GenomesDAO
Service DAO",$ 273.5K,"$ 273.5K FT Vault GenomesDAO
Service DAO",11,11 Proposal,54,54 Voter,10.6K,10.6K Followers,Unverifed
"mStable
Protocol DAO","$ 374.4K
-0.01% (24H)","$ 374.4K
-0.01% (24H) TreasurymStable
Protocol DAO",$463.30,"463.3 NFT Vault mStable
Protocol DAO",$ 374.0K,"$ 374.0K FT Vault mStable
Protocol DAO",142,142 Proposal,2.1K,2.1K Voter,26.1K,26.1K Followers,Unverifed
"Cyborg DAO
Collector DAO","$ 368.2K
0.18% (24H)","$ 368.2K
0.18% (24H) TreasuryCyborg DAO
Collector DAO",$ 313.9K,"$ 313.9K NFT Vault Cyborg DAO
Collector DAO",$ 54.3K,"$ 54.3K FT Vault Cyborg DAO
Collector DAO",0,0 Proposal,0,0 Voter,521,521 Followers,Verifed
"PoolWORKs V1 Liquidity Providers DAO
Protocol DAO","$ 366.7K
0.41% (24H)","$ 366.7K
0.41% (24H) TreasuryPoolWORKs V1 Liquidity Providers DAO
Protocol DAO",N/A,"N/A NFT Vault PoolWORKs V1 Liquidity Providers DAO
Protocol DAO",$ 366.7K,"$ 366.7K FT Vault PoolWORKs V1 Liquidity Providers DAO
Protocol DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"ShineDAO
Protocol DAO","$ 364.7K
0.27% (24H)","$ 364.7K
0.27% (24H) TreasuryShineDAO
Protocol DAO",N/A,"N/A NFT Vault ShineDAO
Protocol DAO",$ 364.7K,"$ 364.7K FT Vault ShineDAO
Protocol DAO",20,20 Proposal,98,98 Voter,1.6K,1.6K Followers,Unverifed
"Gas DAO
Infrastructure","$ 340.6K
0.14% (24H)","$ 340.6K
0.14% (24H) TreasuryGas DAO
Infrastructure",N/A,"N/A NFT Vault Gas DAO
Infrastructure",$ 340.6K,"$ 340.6K FT Vault Gas DAO
Infrastructure",20,20 Proposal,908,908 Voter,31.8K,31.8K Followers,Unverifed
"Signata DAO
Infrastructure","$ 335.6K
-0.02% (24H)","$ 335.6K
-0.02% (24H) TreasurySignata DAO
Infrastructure",N/A,"N/A NFT Vault Signata DAO
Infrastructure",$ 335.6K,"$ 335.6K FT Vault Signata DAO
Infrastructure",8,8 Proposal,16,16 Voter,1.8K,1.8K Followers,Unverifed
"Public Nouns
Creator DAO","$ 322.2K
0.18% (24H)","$ 322.2K
0.18% (24H) TreasuryPublic Nouns
Creator DAO",N/A,"N/A NFT Vault Public Nouns
Creator DAO",$ 322.2K,"$ 322.2K FT Vault Public Nouns
Creator DAO",17,17 Proposal,66,66 Voter,788,788 Followers,Unverifed
"Own.fund DAO
Investment DAO","$ 295.5K
0.17% (24H)","$ 295.5K
0.17% (24H) TreasuryOwn.fund DAO
Investment DAO",$818.80,"818.8 NFT Vault Own.fund DAO
Investment DAO",$ 294.7K,"$ 294.7K FT Vault Own.fund DAO
Investment DAO",74,74 Proposal,43,43 Voter,511,511 Followers,Unverifed
"WoWFund
Investment DAO","$ 294.6K
0.18% (24H)","$ 294.6K
0.18% (24H) TreasuryWoWFund
Investment DAO",$ 260.4K,"$ 260.4K NFT Vault WoWFund
Investment DAO",$ 34.2K,"$ 34.2K FT Vault WoWFund
Investment DAO",11,11 Proposal,1.5K,1.5K Voter,205.7K,205.7K Followers,Unverifed
"NOISE
Collector DAO","$ 291.7K
0.20% (24H)","$ 291.7K
0.20% (24H) TreasuryNOISE
Collector DAO",$ 251.1K,"$ 251.1K NFT Vault NOISE
Collector DAO",$ 40.6K,"$ 40.6K FT Vault NOISE
Collector DAO",0,0 Proposal,0,0 Voter,4.8K,4.8K Followers,Unverifed
"GDN DAO
Protocol DAO","$ 288.3K
-0.13% (24H)","$ 288.3K
-0.13% (24H) TreasuryGDN DAO
Protocol DAO",$38.80,"38.8 NFT Vault GDN DAO
Protocol DAO",$ 288.3K,"$ 288.3K FT Vault GDN DAO
Protocol DAO",73,73 Proposal,53,53 Voter,2.2K,2.2K Followers,Unverifed
"Bao Finance
Protocol DAO","$ 281.3K
0.22% (24H)","$ 281.3K
0.22% (24H) TreasuryBao Finance
Protocol DAO",$48.50,"48.5 NFT Vault Bao Finance
Protocol DAO",$ 281.3K,"$ 281.3K FT Vault Bao Finance
Protocol DAO",70,70 Proposal,1.5K,1.5K Voter,1.0K,1.0K Followers,Verifed
"ExpansionDAO
Infrastructure","$ 280.0K
0.19% (24H)","$ 280.0K
0.19% (24H) TreasuryExpansionDAO
Infrastructure",$ 155.5K,"$ 155.5K NFT Vault ExpansionDAO
Infrastructure",$ 124.5K,"$ 124.5K FT Vault ExpansionDAO
Infrastructure",24,24 Proposal,222,222 Voter,19.5K,19.5K Followers,Unverifed
"Stellars DAO
Collector DAO","$ 267.4K
0.18% (24H)","$ 267.4K
0.18% (24H) TreasuryStellars DAO
Collector DAO",$ 267.4K,"$ 267.4K NFT Vault Stellars DAO
Collector DAO",$43.80,"43.8 FT Vault Stellars DAO
Collector DAO",0,0 Proposal,0,0 Voter,735,735 Followers,Unverifed
"APE DAO
Infrastructure","$ 263.7K
0.03% (24H)","$ 263.7K
0.03% (24H) TreasuryAPE DAO
Infrastructure",$ 42.6K,"$ 42.6K NFT Vault APE DAO
Infrastructure",$ 221.1K,"$ 221.1K FT Vault APE DAO
Infrastructure",48,48 Proposal,529,529 Voter,12.9K,12.9K Followers,Unverifed
"JuiceboxDAO
Protocol DAO","$ 262.6K
0.17% (24H)","$ 262.6K
0.17% (24H) TreasuryJuiceboxDAO
Protocol DAO",$818.80,"818.8 NFT Vault JuiceboxDAO
Protocol DAO",$ 261.8K,"$ 261.8K FT Vault JuiceboxDAO
Protocol DAO",327,327 Proposal,944,944 Voter,16.9K,16.9K Followers,Unverifed
"SongADAO
Creator DAO","$ 258.1K
-0.16% (24H)","$ 258.1K
-0.16% (24H) TreasurySongADAO
Creator DAO",$ 161.1K,"$ 161.1K NFT Vault SongADAO
Creator DAO",$ 97.0K,"$ 97.0K FT Vault SongADAO
Creator DAO",9,9 Proposal,58,58 Voter,421,421 Followers,Unverifed
"UpsideDAO
Investment DAO","$ 256.1K
0.17% (24H)","$ 256.1K
0.17% (24H) TreasuryUpsideDAO
Investment DAO",$ 250.4K,"$ 250.4K NFT Vault UpsideDAO
Investment DAO",$ 5.7K,"$ 5.7K FT Vault UpsideDAO
Investment DAO",54,54 Proposal,39,39 Voter,64,64 Followers,Unverifed
"GrugsLair DAO
Guild","$ 253.2K
0.16% (24H)","$ 253.2K
0.16% (24H) TreasuryGrugsLair DAO
Guild",$ 244.0K,"$ 244.0K NFT Vault GrugsLair DAO
Guild",$ 9.2K,"$ 9.2K FT Vault GrugsLair DAO
Guild",1,1 Proposal,86,86 Voter,1.1K,1.1K Followers,Unverifed
"TrueFi
Protocol DAO","$ 213.4K
0.13% (24H)","$ 213.4K
0.13% (24H) TreasuryTrueFi
Protocol DAO",N/A,"N/A NFT Vault TrueFi
Protocol DAO",$ 213.4K,"$ 213.4K FT Vault TrueFi
Protocol DAO",79,79 Proposal,232,232 Voter,82.7K,82.7K Followers,Unverifed
"UkraineDAO
Service DAO","$ 212.4K
0.14% (24H)","$ 212.4K
0.14% (24H) TreasuryUkraineDAO
Service DAO",$97.00,"97 NFT Vault UkraineDAO
Service DAO",$ 212.3K,"$ 212.3K FT Vault UkraineDAO
Service DAO",0,0 Proposal,0,0 Voter,19.1K,19.1K Followers,Unverifed
"BaconCoin
Protocol DAO","$ 206.8K
-0.16% (24H)","$ 206.8K
-0.16% (24H) TreasuryBaconCoin
Protocol DAO",N/A,"N/A NFT Vault BaconCoin
Protocol DAO",$ 206.8K,"$ 206.8K FT Vault BaconCoin
Protocol DAO",24,24 Proposal,71,71 Voter,1.4K,1.4K Followers,Unverifed
"SpellsDAO
Protocol DAO","$ 204.7K
0.18% (24H)","$ 204.7K
0.18% (24H) TreasurySpellsDAO
Protocol DAO",N/A,"N/A NFT Vault SpellsDAO
Protocol DAO",$ 204.7K,"$ 204.7K FT Vault SpellsDAO
Protocol DAO",0,0 Proposal,0,0 Voter,1.3K,1.3K Followers,Unverifed
"NICEBUNNY
Infrastructure","$ 200.9K
0.18% (24H)","$ 200.9K
0.18% (24H) TreasuryNICEBUNNY
Infrastructure",$ 187.4K,"$ 187.4K NFT Vault NICEBUNNY
Infrastructure",$ 13.4K,"$ 13.4K FT Vault NICEBUNNY
Infrastructure",0,0 Proposal,0,0 Voter,1.5K,1.5K Followers,Verifed
"WizardsDAO
Creator DAO","$ 198.7K
0.22% (24H)","$ 198.7K
0.22% (24H) TreasuryWizardsDAO
Creator DAO",$ 142.6K,"$ 142.6K NFT Vault WizardsDAO
Creator DAO",$ 56.0K,"$ 56.0K FT Vault WizardsDAO
Creator DAO",64,64 Proposal,159,159 Voter,5.9K,5.9K Followers,Unverifed
"Paladin
Protocol DAO","$ 197.1K
-0.30% (24H)","$ 197.1K
-0.30% (24H) TreasuryPaladin
Protocol DAO",N/A,"N/A NFT Vault Paladin
Protocol DAO",$ 197.1K,"$ 197.1K FT Vault Paladin
Protocol DAO",51,51 Proposal,155,155 Voter,5.4K,5.4K Followers,Unverifed
"Fat Cats Dao
Creator DAO","$ 184.8K
0.18% (24H)","$ 184.8K
0.18% (24H) TreasuryFat Cats Dao
Creator DAO",$ 183.2K,"$ 183.2K NFT Vault Fat Cats Dao
Creator DAO",$ 1.7K,"$ 1.7K FT Vault Fat Cats Dao
Creator DAO",25,25 Proposal,637,637 Voter,16.9K,16.9K Followers,Unverifed
"BarnBridge
Protocol DAO","$ 183.3K
0.00% (24H)","$ 183.3K
0.00% (24H) TreasuryBarnBridge
Protocol DAO",N/A,"N/A NFT Vault BarnBridge
Protocol DAO",$ 183.3K,"$ 183.3K FT Vault BarnBridge
Protocol DAO",31,31 Proposal,453,453 Voter,24.0K,24.0K Followers,Unverifed
"MeebitsDAO
Creator DAO","$ 183.1K
0.17% (24H)","$ 183.1K
0.17% (24H) TreasuryMeebitsDAO
Creator DAO",$ 17.6K,"$ 17.6K NFT Vault MeebitsDAO
Creator DAO",$ 165.5K,"$ 165.5K FT Vault MeebitsDAO
Creator DAO",25,25 Proposal,95,95 Voter,21.3K,21.3K Followers,Verifed
"TheLandSafe
Creator DAO","$ 180.7K
0.16% (24H)","$ 180.7K
0.16% (24H) TreasuryTheLandSafe
Creator DAO",$ 115.1K,"$ 115.1K NFT Vault TheLandSafe
Creator DAO",$ 65.6K,"$ 65.6K FT Vault TheLandSafe
Creator DAO",58,58 Proposal,324,324 Voter,20.6K,20.6K Followers,Unverifed
"Developer DAO
Infrastructure","$ 179.9K
0.10% (24H)","$ 179.9K
0.10% (24H) TreasuryDeveloper DAO
Infrastructure",$163.90,"163.9 NFT Vault Developer DAO
Infrastructure",$ 179.8K,"$ 179.8K FT Vault Developer DAO
Infrastructure",31,31 Proposal,2.6K,2.6K Voter,85.7K,85.7K Followers,Unverifed
"Proof of Humanity
Infrastructure","$ 178.3K
0.39% (24H)","$ 178.3K
0.39% (24H) TreasuryProof of Humanity
Infrastructure",N/A,"N/A NFT Vault Proof of Humanity
Infrastructure",$ 178.3K,"$ 178.3K FT Vault Proof of Humanity
Infrastructure",111,111 Proposal,3.6K,3.6K Voter,32.6K,32.6K Followers,Unverifed
"GoodKarma DAO
Infrastructure","$ 177.2K
-0.92% (24H)","$ 177.2K
-0.92% (24H) TreasuryGoodKarma DAO
Infrastructure",$ 164.8K,"$ 164.8K NFT Vault GoodKarma DAO
Infrastructure",$ 12.5K,"$ 12.5K FT Vault GoodKarma DAO
Infrastructure",5,5 Proposal,47,47 Voter,4.4K,4.4K Followers,Unverifed
"Spiral DAO
Protocol DAO","$ 176.4K
-0.99% (24H)","$ 176.4K
-0.99% (24H) TreasurySpiral DAO
Protocol DAO",N/A,"N/A NFT Vault Spiral DAO
Protocol DAO",$ 176.4K,"$ 176.4K FT Vault Spiral DAO
Protocol DAO",0,0 Proposal,0,0 Voter,25.9K,25.9K Followers,Verifed
"Nyx DAO
Protocol DAO","$ 174.8K
0.18% (24H)","$ 174.8K
0.18% (24H) TreasuryNyx DAO
Protocol DAO",$188.50,"188.5 NFT Vault Nyx DAO
Protocol DAO",$ 174.6K,"$ 174.6K FT Vault Nyx DAO
Protocol DAO",0,0 Proposal,0,0 Voter,5.9K,5.9K Followers,Unverifed
"Indexed
Protocol DAO","$ 167.2K
0.31% (24H)","$ 167.2K
0.31% (24H) TreasuryIndexed
Protocol DAO",N/A,"N/A NFT Vault Indexed
Protocol DAO",$ 167.2K,"$ 167.2K FT Vault Indexed
Protocol DAO",73,73 Proposal,725,725 Voter,17.2K,17.2K Followers,Unverifed
"PrimeDAO
Protocol DAO","$ 165.3K
0.63% (24H)","$ 165.3K
0.63% (24H) TreasuryPrimeDAO
Protocol DAO",N/A,"N/A NFT Vault PrimeDAO
Protocol DAO",$ 165.3K,"$ 165.3K FT Vault PrimeDAO
Protocol DAO",249,249 Proposal,11,11 Voter,8.3K,8.3K Followers,Unverifed
"TheJPEGGallery
Infrastructure","$ 156.9K
0.18% (24H)","$ 156.9K
0.18% (24H) TreasuryTheJPEGGallery
Infrastructure",$ 156.8K,"$ 156.8K NFT Vault TheJPEGGallery
Infrastructure",$103.10,"103.1 FT Vault TheJPEGGallery
Infrastructure",0,0 Proposal,0,0 Voter,32.0K,32.0K Followers,Unverifed
"UltraDAO
Collector DAO","$ 153.7K
0.83% (24H)","$ 153.7K
0.83% (24H) TreasuryUltraDAO
Collector DAO",$ 149.2K,"$ 149.2K NFT Vault UltraDAO
Collector DAO",$ 4.5K,"$ 4.5K FT Vault UltraDAO
Collector DAO",0,0 Proposal,0,0 Voter,18.8K,18.8K Followers,Unverifed
"Entropy
Creator DAO","$ 141.4K
0.18% (24H)","$ 141.4K
0.18% (24H) TreasuryEntropy
Creator DAO",N/A,"N/A NFT Vault Entropy
Creator DAO",$ 141.4K,"$ 141.4K FT Vault Entropy
Creator DAO",7,7 Proposal,28,28 Voter,114.0K,114.0K Followers,Unverifed
"dOrg
Service DAO","$ 135.8K
0.01% (24H)","$ 135.8K
0.01% (24H) TreasurydOrg
Service DAO",$170.70,"170.7 NFT Vault dOrg
Service DAO",$ 135.6K,"$ 135.6K FT Vault dOrg
Service DAO",78,78 Proposal,52,52 Voter,3.4K,3.4K Followers,Verifed
"Dream DAO
Service DAO","$ 117.7K
0.18% (24H)","$ 117.7K
0.18% (24H) TreasuryDream DAO
Service DAO",N/A,"N/A NFT Vault Dream DAO
Service DAO",$ 117.7K,"$ 117.7K FT Vault Dream DAO
Service DAO",79,79 Proposal,76,76 Voter,4.6K,4.6K Followers,Unverifed
"MatrixDAO
Investment DAO","$ 117.2K
0.18% (24H)","$ 117.2K
0.18% (24H) TreasuryMatrixDAO
Investment DAO",$ 116.0K,"$ 116.0K NFT Vault MatrixDAO
Investment DAO",$ 1.2K,"$ 1.2K FT Vault MatrixDAO
Investment DAO",0,0 Proposal,0,0 Voter,3.1K,3.1K Followers,Unverifed
"MdDA
Collector DAO","$ 110.0K
1.20% (24H)","$ 110.0K
1.20% (24H) TreasuryMdDA
Collector DAO",$ 109.5K,"$ 109.5K NFT Vault MdDA
Collector DAO",$496.30,"496.3 FT Vault MdDA
Collector DAO",0,0 Proposal,0,0 Voter,793,793 Followers,Unverifed
"Rocketstar Foundation
Service DAO","$ 106.0K
0.16% (24H)","$ 106.0K
0.16% (24H) TreasuryRocketstar Foundation
Service DAO",N/A,"N/A NFT Vault Rocketstar Foundation
Service DAO",$ 106.0K,"$ 106.0K FT Vault Rocketstar Foundation
Service DAO",10,10 Proposal,6,6 Voter,260,260 Followers,Unverifed
"VeeDao
Collector DAO","$ 105.7K
-0.69% (24H)","$ 105.7K
-0.69% (24H) TreasuryVeeDao
Collector DAO",$ 103.0K,"$ 103.0K NFT Vault VeeDao
Collector DAO",$ 2.6K,"$ 2.6K FT Vault VeeDao
Collector DAO",33,33 Proposal,491,491 Voter,17,17 Followers,Unverifed
"Pixelmon
Creator DAO","$ 105.5K
0.18% (24H)","$ 105.5K
0.18% (24H) TreasuryPixelmon
Creator DAO",$ 91.6K,"$ 91.6K NFT Vault Pixelmon
Creator DAO",$ 13.9K,"$ 13.9K FT Vault Pixelmon
Creator DAO",0,0 Proposal,0,0 Voter,169.5K,169.5K Followers,Unverifed
"Ease
Protocol DAO","$ 104.9K
-0.27% (24H)","$ 104.9K
-0.27% (24H) TreasuryEase
Protocol DAO",$56.30,"56.3 NFT Vault Ease
Protocol DAO",$ 104.9K,"$ 104.9K FT Vault Ease
Protocol DAO",7,7 Proposal,33,33 Voter,7.3K,7.3K Followers,Unverifed
"Ed3DAO
Service DAO","$ 98.9K
0.05% (24H)","$ 98.9K
0.05% (24H) TreasuryEd3DAO
Service DAO",N/A,"N/A NFT Vault Ed3DAO
Service DAO",$ 98.9K,"$ 98.9K FT Vault Ed3DAO
Service DAO",0,0 Proposal,0,0 Voter,2.8K,2.8K Followers,Unverifed
"Bancor
Protocol DAO","$ 95.3K
-0.03% (24H)","$ 95.3K
-0.03% (24H) TreasuryBancor
Protocol DAO",N/A,"N/A NFT Vault Bancor
Protocol DAO",$ 95.3K,"$ 95.3K FT Vault Bancor
Protocol DAO",497,497 Proposal,1.1K,1.1K Voter,158.0K,158.0K Followers,Unverifed
"Pride Punk DAO
Creator DAO","$ 94.1K
0.17% (24H)","$ 94.1K
0.17% (24H) TreasuryPride Punk DAO
Creator DAO",$ 2.6K,"$ 2.6K NFT Vault Pride Punk DAO
Creator DAO",$ 91.5K,"$ 91.5K FT Vault Pride Punk DAO
Creator DAO",11,11 Proposal,79,79 Voter,3.6K,3.6K Followers,Unverifed
"Relevant DAO
Media DAO","$ 93.3K
0.00% (24H)","$ 93.3K
0.00% (24H) TreasuryRelevant DAO
Media DAO",$19.40,"19.4 NFT Vault Relevant DAO
Media DAO",$ 93.3K,"$ 93.3K FT Vault Relevant DAO
Media DAO",2,2 Proposal,6,6 Voter,4.0K,4.0K Followers,Unverifed
"AmpleSense
Infrastructure","$ 89.8K
-0.02% (24H)","$ 89.8K
-0.02% (24H) TreasuryAmpleSense
Infrastructure",N/A,"N/A NFT Vault AmpleSense
Infrastructure",$ 89.8K,"$ 89.8K FT Vault AmpleSense
Infrastructure",4,4 Proposal,145,145 Voter,939,939 Followers,Unverifed
"GnarsDAO
Creator DAO","$ 88.8K
0.18% (24H)","$ 88.8K
0.18% (24H) TreasuryGnarsDAO
Creator DAO",$ 78.5K,"$ 78.5K NFT Vault GnarsDAO
Creator DAO",$ 10.3K,"$ 10.3K FT Vault GnarsDAO
Creator DAO",90,90 Proposal,266,266 Voter,4.8K,4.8K Followers,Unverifed
"DaxioDAO
Protocol DAO","$ 88.1K
0.18% (24H)","$ 88.1K
0.18% (24H) TreasuryDaxioDAO
Protocol DAO",$ 86.9K,"$ 86.9K NFT Vault DaxioDAO
Protocol DAO",$ 1.2K,"$ 1.2K FT Vault DaxioDAO
Protocol DAO",22,22 Proposal,244,244 Voter,852,852 Followers,Unverifed
"Kift DAO
Creator DAO","$ 85.8K
0.18% (24H)","$ 85.8K
0.18% (24H) TreasuryKift DAO
Creator DAO",N/A,"N/A NFT Vault Kift DAO
Creator DAO",$ 85.8K,"$ 85.8K FT Vault Kift DAO
Creator DAO",6,6 Proposal,76,76 Voter,3.5K,3.5K Followers,Unverifed
"MetaStonez
Creator DAO","$ 83.4K
0.18% (24H)","$ 83.4K
0.18% (24H) TreasuryMetaStonez
Creator DAO",$ 4.7K,"$ 4.7K NFT Vault MetaStonez
Creator DAO",$ 78.7K,"$ 78.7K FT Vault MetaStonez
Creator DAO",0,0 Proposal,0,0 Voter,21.4K,21.4K Followers,Unverifed
"The LAO
Investment DAO","$ 82.3K
0.35% (24H)","$ 82.3K
0.35% (24H) TreasuryThe LAO
Investment DAO",N/A,"N/A NFT Vault The LAO
Investment DAO",$ 82.3K,"$ 82.3K FT Vault The LAO
Investment DAO",144,144 Proposal,45,45 Voter,N/A,N/A Followers,Unverifed
"Jelly Protocol
Protocol DAO",$ 81.7K,"$ 81.7K TreasuryJelly Protocol
Protocol DAO",N/A,"N/A NFT Vault Jelly Protocol
Protocol DAO",$ 81.7K,"$ 81.7K FT Vault Jelly Protocol
Protocol DAO",1,1 Proposal,3,3 Voter,6.4K,6.4K Followers,Unverifed
"BleepsDAO
Creator DAO","$ 81.0K
0.17% (24H)","$ 81.0K
0.17% (24H) TreasuryBleepsDAO
Creator DAO",$ 9.3K,"$ 9.3K NFT Vault BleepsDAO
Creator DAO",$ 71.7K,"$ 71.7K FT Vault BleepsDAO
Creator DAO",0,0 Proposal,0,0 Voter,633,633 Followers,Unverifed
"Streamr
Infrastructure","$ 80.8K
0.08% (24H)","$ 80.8K
0.08% (24H) TreasuryStreamr
Infrastructure",$606.30,"606.3 NFT Vault Streamr
Infrastructure",$ 80.2K,"$ 80.2K FT Vault Streamr
Infrastructure",15,15 Proposal,1.9K,1.9K Voter,N/A,N/A Followers,Unverifed
"daowo
Collector DAO","$ 78.2K
0.19% (24H)","$ 78.2K
0.19% (24H) Treasurydaowo
Collector DAO",$ 68.3K,"$ 68.3K NFT Vault daowo
Collector DAO",$ 9.9K,"$ 9.9K FT Vault daowo
Collector DAO",12,12 Proposal,695,695 Voter,2.0K,2.0K Followers,Unverifed
"Newsletter Team
Media DAO","$ 76.5K
0.16% (24H)","$ 76.5K
0.16% (24H) TreasuryNewsletter Team
Media DAO",N/A,"N/A NFT Vault Newsletter Team
Media DAO",$ 76.5K,"$ 76.5K FT Vault Newsletter Team
Media DAO",0,0 Proposal,0,0 Voter,N/A,N/A Followers,Unverifed
"Genesis Blocks
Creator DAO","$ 73.6K
-0.01% (24H)","$ 73.6K
-0.01% (24H) TreasuryGenesis Blocks
Creator DAO",$ 72.1K,"$ 72.1K NFT Vault Genesis Blocks
Creator DAO",$ 1.5K,"$ 1.5K FT Vault Genesis Blocks
Creator DAO",63,63 Proposal,513,513 Voter,1.3K,1.3K Followers,Unverifed
